loss_rate,trial,duration_ms,file_size_bytes,throughput_mbps,1_over_sqrt_p
0.01,7,16920,10485760,4.9578061465721035,10.0
0.01,8,25937,10485760,3.2342244669776763,10.0
0.01,9,29522,10485760,2.841476864711063,10.0
0.01,10,20870,10485760,4.019457594633445,10.0
0.01,11,18373,10485760,4.565725793283622,10.0
0.01,12,18933,10485760,4.430680821845455,10.0
0.01,13,22527,10485760,3.723801660229946,10.0
0.01,14,18158,10485760,4.619786320079303,10.0
0.01,15,20566,10485760,4.078871924535641,10.0
0.02,1,29180,10485760,2.8747799862919807,7.0710678118654755
0.02,2,41987,10485760,1.9979060185295447,7.0710678118654755
0.02,3,32486,10485760,2.582222495844364,7.0710678118654755
0.02,4,34038,10485760,2.4644832246312944,7.0710678118654755
0.02,5,33071,10485760,2.536545009222582,7.0710678118654755
